abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,flavortext
['Effect Spore'| 'Dry Skin'| 'Damp'],2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,95,5120,70,405,75,Mushroom Pokémon,80,1000000,1,60,Parasectパラセクト,Parasect,50,47,60,80,30,bug,grass,29.5,1,0,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
['Compoundeyes'| 'Tinted Lens'| 'Run Away'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,55,5120,70,305,190,Insect Pokémon,50,1000000,1,60,Kongpangコンパン,Venonat,50,48,40,55,45,bug,poison,30,1,0,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
['Shield Dust'| 'Tinted Lens'| 'Wonder Skin '],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,5120,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50,49,90,75,90,bug,poison,12.5,1,0,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
['Sand Veil'| 'Arena Trap'| 'Sand Force'| 'Sand Veil'| 'Tangling Hair'| 'Sand Force'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,55,5120,70,265,255,Mole Pokémon,30,1000000,,10,Digdaディグダ,Diglett,50,50,35,45,90,ground,ground,,1,0,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
['Sand Veil'| 'Arena Trap'| 'Sand Force'| 'Sand Veil'| 'Tangling Hair'| 'Sand Force'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,425,50,Mole Pokémon,60,1000000,,35,Dugtrioダグトリオ,Dugtrio,50,51,50,70,110,ground,ground,,1,0,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
['Pickup'| 'Technician'| 'Unnerve'| 'Pickup'| 'Technician'| 'Rattled'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,35,5120,70,290,255,Scratch Cat Pokémon,35,1000000,,40,Nyarthニャース,Meowth,50,52,50,40,90,normal,dark,,1,0,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
['Limber'| 'Technician'| 'Unnerve'| 'Fur Coat'| 'Technician'| 'Rattled'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,440,90,Classy Cat Pokémon,60,1000000,,65,Persianペルシアン,Persian,50,53,75,65,115,normal,dark,,1,0,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
['Damp'| 'Cloud Nine'| 'Swift Swim'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,52,5120,70,320,190,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,Psyduck,50,54,65,50,55,water,,19.6,1,0,"While lulling its enemies with its vacant look, this wily Pokemon will use psychokinetic powers."
['Damp'| 'Cloud Nine'| 'Swift Swim'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,82,5120,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,Golduck,50,55,95,80,85,water,,76.6,1,0,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
['Vital Spirit'| 'Anger Point'| 'Defiant'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,Mankey,50,56,35,45,70,fighting,,28,1,0,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
['Vital Spirit'| 'Anger Point'| 'Defiant'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1,65,Okorizaruオコリザル,Primeape,50,57,60,70,95,fighting,,32,1,0,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
['Intimidate'| 'Flash Fire'| 'Justified'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,fire,,19,1,0,Very protective of its territory. It will bark and bite to repel intruders from its space.
['Intimidate'| 'Flash Fire'| 'Justified'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,fire,,155,1,0,A Pokemon that has been admired since the past for its beauty. It runs agilely as if on wings.
['Water Absorb'| 'Damp'| 'Swift Swim'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50,60,40,40,90,water,,12.4,1,0,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
['Water Absorb'| 'Damp'| 'Swift Swim'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1,65,Nyorozoニョロゾ,Poliwhirl,50,61,50,50,90,water,,20,1,0,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
['Water Absorb'| 'Damp'| 'Swift Swim'],0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50,62,70,90,70,water,fighting,54,1,0,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
['Synchronize'| 'Inner Focus'| 'Magic Guard'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,90,psychic,,19.5,1,0,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
['Synchronize'| 'Inner Focus'| 'Magic Guard'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0,It emits special alpha waves from its body that induce headaches just by being close by.
['Synchronize'| 'Inner Focus'| 'Magic Guard'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,150,psychic,,48,1,0,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
['Guts'| 'No Guard'| 'Steadfast'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,35,fighting,,19.5,1,0,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
['Guts'| 'No Guard'| 'Steadfast'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
['Guts'| 'No Guard'| 'Steadfast'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,55,fighting,,130,1,0,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
['Chlorophyll'| 'Gluttony'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50,69,70,30,40,grass,poison,4,1,0,A carnivorous Pokemon that traps and eats bugs. It uses its root feet to soak up needed moisture.
['Chlorophyll'| 'Gluttony'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1,65,Utsudonウツドン,Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
['Chlorophyll'| 'Gluttony'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,Utsubotウツボット,Victreebel,50,71,100,70,70,grass,poison,15.5,1,0,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
['Clear Body'| 'Liquid Ooze'| 'Rain Dish'],0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50,72,50,100,70,water,poison,45.5,1,0,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
['Clear Body'| 'Liquid Ooze'| 'Rain Dish'],0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50,73,80,120,100,water,poison,55,1,0,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
['Rock Head'| 'Sturdy'| 'Sand Veil'| 'Magnet Pull'| 'Sturdy'| 'Galvanize'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,80,3840,70,300,255,Rock Pokémon,100,1059860,,40,Isitsubuteイシツブテ,Geodude,50,74,30,30,20,rock,ground,,1,0,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
['Rock Head'| 'Sturdy'| 'Sand Veil'| 'Magnet Pull'| 'Sturdy'| 'Galvanize'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,95,3840,70,390,120,Rock Pokémon,115,1059860,,55,Goloneゴローン,Graveler,50,75,45,45,35,rock,ground,,1,0,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
['Rock Head'| 'Sturdy'| 'Sand Veil'| 'Magnet Pull'| 'Sturdy'| 'Galvanize'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,120,3840,70,495,45,Megaton Pokémon,130,1059860,,80,Golonyaゴローニャ,Golem,50,76,55,65,45,rock,ground,,1,0,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
['Run Away'| 'Flash Fire'| 'Flame Body'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,410,190,Fire Horse Pokémon,55,1000000,1,50,Ponytaポニータ,Ponyta,50,77,65,65,90,fire,,30,1,0,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
